GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,5/2/1941,F,17.55,-99.5,3,17.55,-99.5,3
LASIURUS,CINEREUS,10/19/1941,F,17.55,-99.5,3,17.55,-99.5,3
LASIURUS,CINEREUS,12/25/1944,F,17.5,-99.666667,3,17.556243,-99.686346,1
LASIURUS,CINEREUS,10/13/1984,M,20.916667,-99.333333,11,20.18666,-98.920728,1
LASIURUS,CINEREUS,3/25/1982,M,21.133333,-98.416667,5,21.104301,-98.347294,2
LASIURUS,CINEREUS,3/26/1983,M,20.766667,-99.15,3,20.786856,-99.155243,1
LASIURUS,CINEREUS,3/26/1983,M,20.766667,-99.15,3,20.786856,-99.155243,1
LASIURUS,CINEREUS,4/7/1984,M,20.7,-98.933333,3,20.518343,-98.660937,1
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,4/30/1967,M,19.766667,-104.366667,20,19.522992,-104.202451,5
LASIURUS,CINEREUS,11/5/1962,M,20.383333,-104.816667,10.6,20.241496,-104.779139,2
LASIURUS,CINEREUS,5/20/1964,M,20.383333,-104.816667,9.4,20.156792,-104.626045,3
LASIURUS,CINEREUS,5/20/1964,M,20.383333,-104.816667,9.4,20.156792,-104.626045,3
LASIURUS,CINEREUS,5/20/1964,M,20.383333,-104.816667,9.4,20.156792,-104.626045,3
